data,time_start,time_stop,count_move,screen
20200413,102522,102624,0,none
20200413,102630,102732,0,none
20200413,102738,102840,0,none
20200413,113557,115102,3303.5,20200413-113557-115102.jpg
20200413,115108,120613,556.0,20200413-115108-120613.jpg
20200413,120619,122125,8982.5,20200413-120619-122125.jpg
20200413,122131,123636,1663.5,20200413-122131-123636.jpg
20200413,123642,125148,4091.0,20200413-123642-125148.jpg
20200413,125154,130659,2034.5,20200413-125154-130659.jpg
20200413,130705,132210,3279.5,20200413-130705-132210.jpg
20200413,132217,133722,0,none
20200413,133728,135233,0,none
20200413,135239,140745,0,none
20200413,140751,142256,4061.0,20200413-140751-142256.jpg
20200413,142302,143808,0,none
20200413,143814,145319,1158.5,20200413-143814-145319.jpg
20200413,145326,150827,963.5,20200413-145326-150827.jpg
20200413,150833,152338,0,none
20200413,152344,153850,0,none
20200413,153856,155401,0,none
20200413,155407,160912,43188.5,20200413-155407-160912.jpg
20200413,160918,162424,0,none
20200413,162430,163933,0,none
20200413,163940,165445,0,none
20200413,165451,170951,0,none
20200413,170957,172503,0,none
20200413,172509,174013,139720.0,20200413-172509-174013.jpg
20200413,174019,175522,53787.0,20200413-174019-175522.jpg
20200413,175528,181031,0,none
20200413,181038,182540,0,none
20200413,182546,184050,0,none
20200413,184056,185558,0,none
20200413,185604,191106,0,none
20200413,191112,192614,0,none
20200413,192621,194123,0,none
20200413,194129,195631,0,none
20200413,195637,201139,0,none
20200413,201145,202646,0,none
20200413,202653,204155,0,none
20200413,204201,205703,5504.0,20200413-204201-205703.jpg
20200413,205709,211210,942.0,20200413-205709-211210.jpg
20200413,211217,212718,0,none
20200413,212725,214226,0,none
20200413,214232,215734,0,none
20200413,215740,221241,0,none
20200413,221247,222748,0,none
20200413,222755,224257,0,none
20200413,224303,225806,0,none
20200413,225812,231314,0,none
20200413,231320,232823,0,none
20200413,232830,234331,0,none
20200413,234337,235839,0,none
20200413,235839,001342,0,none
20200414,001348,002850,0,none
